"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","winner_rank","winner_rank_points","loser_rank","loser_rank_points"
"490","2023-718","Dubai","Hard",64,"P",20230220,247,202600,NA,"Q","Viktoriya Tomova","R",170,"BUL",27.9,201466,NA,"","Kaia Kanepi","R",181,"EST",37.6,"6-3 6-1",3,"R64",79,4,2,53,32,23,11,8,1,2,2,0,62,34,17,12,8,7,12,99,665,48,1052
"491","2023-718","Dubai","Hard",64,"P",20230220,244,206252,NA,"","Barbora Krejcikova","R",178,"CZE",27.1,201593,NA,"","Irina Camelia Begu","R",181,"ROU",32.4,"6-4 6-2",3,"R64",95,1,2,49,34,25,7,9,0,1,1,5,78,55,32,8,9,7,11,30,1410,39,1288
"492","2023-718","Dubai","Hard",64,"P",20230220,243,201709,NA,"","Yulia Putintseva","R",163,"KAZ",28.1,201549,NA,"","Petra Martic","R",181,"CRO",32,"6-4 0-6 6-2",3,"R64",107,2,6,78,58,40,8,12,4,7,3,4,65,41,29,12,12,1,4,46,1176,28,1450
"493","2023-718","Dubai","Hard",64,"P",20230220,242,201520,12,"","Petra Kvitova","L",183,"CZE",32.9,203354,NA,"","Martina Trevisan","L",160,"ITA",29.2,"6-2 6-1",3,"R64",68,4,5,56,37,25,9,8,4,6,0,5,38,25,11,1,7,2,8,15,2182,25,1558
"494","2023-718","Dubai","Hard",64,"P",20230220,241,211533,13,"","Jelena Ostapenko","R",177,"LAT",25.7,215290,NA,"Q","Katarina Zavatska","R",173,"UKR",23,"6-1 6-4",3,"R64",75,8,3,57,36,29,8,9,0,1,0,2,50,31,16,9,8,5,9,20,1795,280,223
"495","2023-718","Dubai","Hard",64,"P",20230220,240,222258,NA,"WC","Linda Fruhvirtova","R",NA,"CZE",17.8,203389,NA,"","Danielle Collins","R",178,"USA",29.1,"6-3 6-4",3,"R64",77,6,0,52,39,26,8,9,2,4,1,3,65,44,25,8,10,5,10,52,1007,40,1273
"496","2023-718","Dubai","Hard",64,"P",20230220,239,201616,NA,"LL","Lauren Davis","R",157,"USA",29.3,213525,NA,"","Jil Teichmann","L",170,"SUI",25.6,"6-4 4-6 6-3",3,"R64",134,3,4,82,52,33,11,14,9,15,3,5,90,54,32,11,15,5,13,49,1025,32,1366
"497","2023-2085","Merida","Hard",32,"I",20230220,300,202429,NA,"","Camila Giorgi","R",168,"ITA",31.1,202490,NA,"Q","Rebecca Peterson","R",173,"SWE",27.5,"7-6(3) 1-6 6-2",3,"F",143,6,5,89,58,39,15,13,8,12,7,3,89,62,43,10,14,4,8,68,865,140,463
"498","2023-2085","Merida","Hard",32,"I",20230220,299,202490,NA,"Q","Rebecca Peterson","R",173,"SWE",27.5,216083,NA,"","Caty Mcnally","R",NA,"USA",21.2,"6-2 6-7(4) 6-4",3,"SF",167,2,5,95,65,42,13,15,3,8,0,4,109,78,43,10,15,4,12,140,463,92,694
"499","2023-2085","Merida","Hard",32,"I",20230220,298,202429,NA,"","Camila Giorgi","R",168,"ITA",31.1,211701,4,"","Katerina Siniakova","R",174,"CZE",26.7,"7-5 7-6(2)",3,"SF",131,7,5,82,42,35,15,12,6,9,3,4,89,67,43,7,12,7,11,68,865,47,1055
"500","2023-2085","Merida","Hard",32,"I",20230220,297,202490,NA,"Q","Rebecca Peterson","R",173,"SWE",27.5,202663,1,"","Magda Linette","R",171,"POL",31,"6-2 6-4",3,"QF",107,5,5,77,57,39,10,9,9,10,0,3,66,39,23,12,9,3,7,140,463,21,1770
"501","2023-2085","Merida","Hard",32,"I",20230220,296,216083,NA,"","Caty Mcnally","R",NA,"USA",21.2,214040,NA,"Q","Kimberly Birrell","R",170,"AUS",24.8,"6-4 6-3",3,"QF",105,3,2,72,48,30,9,10,3,7,0,7,57,34,17,8,9,1,7,92,694,133,494
"502","2023-2085","Merida","Hard",32,"I",20230220,295,211701,4,"","Katerina Siniakova","R",174,"CZE",26.7,220714,7,"","Elisabetta Cocciaretto","R",NA,"ITA",22,"6-1 5-7 6-0",3,"QF",117,3,4,79,53,36,10,13,4,8,0,2,79,59,27,8,12,5,13,47,1055,54,1005
"503","2023-2085","Merida","Hard",32,"I",20230220,294,202429,NA,"","Camila Giorgi","R",168,"ITA",31.1,201585,2,"","Sloane Stephens","R",170,"USA",29.9,"6-0 6-0",3,"QF",47,1,2,29,20,18,6,6,0,0,1,2,43,35,13,2,6,6,12,68,865,41,1244
"504","2023-2085","Merida","Hard",32,"I",20230220,293,202663,1,"","Magda Linette","R",171,"POL",31,215910,NA,"","Panna Udvardy","R",170,"HUN",24.3,"6-0 2-5 RET",3,"R16",73,0,0,47,25,13,11,7,1,5,0,4,35,25,10,0,7,3,8,21,1770,91,695
"505","2023-2085","Merida","Hard",32,"I",20230220,292,202490,NA,"Q","Rebecca Peterson","R",173,"SWE",27.5,219917,5,"","Alycia Parks","R",185,"USA",22.1,"6-4 6-2",3,"R16",86,2,5,54,36,28,8,9,1,2,5,5,55,28,19,10,9,3,7,140,463,51,1009
"506","2023-2085","Merida","Hard",32,"I",20230220,291,216083,NA,"","Caty Mcnally","R",NA,"USA",21.2,220465,NA,"WC","Katie Volynets","R",NA,"USA",21.1,"6-3 6-0",3,"R16",82,0,1,53,32,19,10,7,5,7,1,1,58,39,17,4,8,6,13,92,694,96,679
"507","2023-2085","Merida","Hard",32,"I",20230220,290,214040,NA,"Q","Kimberly Birrell","R",170,"AUS",24.8,216016,NA,"","Xiyu Wang","L",NA,"CHN",21.9,"6-3 6-2",3,"R16",85,1,4,58,39,29,7,9,3,5,3,8,49,31,16,6,8,6,11,133,494,62,912
"508","2023-2085","Merida","Hard",32,"I",20230220,289,220714,7,"","Elisabetta Cocciaretto","R",NA,"ITA",22,216133,NA,"","Xin Yu Wang","R",182,"CHN",21.4,"6-4 6-2",3,"R16",73,1,1,45,35,24,8,9,0,2,1,3,51,23,13,12,9,3,8,54,1005,67,871
"509","2023-2085","Merida","Hard",32,"I",20230220,288,211701,4,"","Katerina Siniakova","R",174,"CZE",26.7,204434,NA,"","Ysaline Bonaventure","L",178,"BEL",28.4,"6-0 7-5",3,"R16",66,7,2,44,28,26,9,9,0,1,1,3,49,33,14,7,9,1,6,47,1055,95,684
"510","2023-2085","Merida","Hard",32,"I",20230220,287,202429,NA,"","Camila Giorgi","R",168,"ITA",31.1,203463,NA,"","Nuria Parrizas Diaz","R",167,"ESP",31.6,"7-6(5) 6-2",3,"R16",112,6,6,65,34,24,17,10,4,6,0,2,74,48,30,10,10,8,12,68,865,79,790
"511","2023-2085","Merida","Hard",32,"I",20230220,286,201585,2,"","Sloane Stephens","R",170,"USA",29.9,219875,NA,"LL","Varvara Gracheva","R",NA,"FRA",22.5,"5-7 6-2 7-6(5)",3,"R16",166,1,2,104,74,45,19,16,5,9,1,2,116,76,49,21,16,8,13,41,1244,89,702
"512","2023-2085","Merida","Hard",32,"I",20230220,285,202663,1,"","Magda Linette","R",171,"POL",31,215785,NA,"","Camila Osorio","R",162,"COL",21.1,"6-7(2) 7-5 6-2",3,"R32",161,2,3,94,62,39,15,16,6,11,1,10,117,74,48,13,16,6,14,21,1770,61,913
"513","2023-2085","Merida","Hard",32,"I",20230220,284,215910,NA,"","Panna Udvardy","R",170,"HUN",24.3,215898,NA,"","Jule Niemeier","R",178,"GER",23.5,"7-6(1) 7-6(5)",3,"R32",154,7,6,100,61,40,17,12,4,7,5,12,94,43,30,24,12,6,9,91,695,69,858
"514","2023-2085","Merida","Hard",32,"I",20230220,283,202490,NA,"Q","Rebecca Peterson","R",173,"SWE",27.5,206408,NA,"","Nadia Podoroska","R",170,"ARG",26,"6-3 7-5",3,"R32",86,2,4,63,46,34,7,11,1,3,3,3,50,36,24,4,10,1,5,140,463,109,607
"515","2023-2085","Merida","Hard",32,"I",20230220,282,219917,5,"","Alycia Parks","R",185,"USA",22.1,214782,NA,"WC","Fernanda Contreras Gomez","R",NA,"MEX",25.3,"7-6(7) 3-6 7-5",3,"R32",155,13,7,113,78,58,21,16,8,9,5,2,100,64,50,22,17,1,2,51,1009,169,386
"516","2023-2085","Merida","Hard",32,"I",20230220,281,216083,NA,"","Caty Mcnally","R",NA,"USA",21.2,202684,3,"","Lin Zhu","R",173,"CHN",29,"7-6(3) 6-7(5) 6-1",3,"R32",195,2,8,128,91,56,10,15,7,13,2,3,106,63,31,20,16,3,12,92,694,42,1220
"517","2023-2085","Merida","Hard",32,"I",20230220,280,220465,NA,"WC","Katie Volynets","R",NA,"USA",21.1,214459,NA,"","Lucia Bronzetti","R",NA,"ITA",24.1,"4-6 6-2 6-1",3,"R32",125,4,2,71,55,37,8,13,2,6,3,4,85,51,30,11,12,9,16,96,679,65,896
"518","2023-2085","Merida","Hard",32,"I",20230220,279,214040,NA,"Q","Kimberly Birrell","R",170,"AUS",24.8,214388,NA,"","Anna Bondar","R",NA,"HUN",25.7,"7-6(8) 6-1",3,"R32",109,1,2,65,44,34,11,10,4,6,4,3,71,40,27,11,9,1,5,133,494,76,816
"519","2023-2085","Merida","Hard",32,"I",20230220,278,216016,NA,"","Xiyu Wang","L",NA,"CHN",21.9,201590,8,"","Alison Riske Amritraj","R",173,"USA",32.6,"7-5 4-6 7-6(1)",3,"R32",202,5,7,116,73,48,23,17,6,11,0,5,125,68,46,25,17,10,15,62,912,58,953
"520","2023-2085","Merida","Hard",32,"I",20230220,277,220714,7,"","Elisabetta Cocciaretto","R",NA,"ITA",22,203530,NA,"","Viktorija Golubic","R",169,"SUI",30.3,"6-0 6-3",3,"R32",89,0,1,58,41,24,11,7,4,5,0,0,63,44,21,7,8,10,16,54,1005,85,744
"521","2023-2085","Merida","Hard",32,"I",20230220,276,216133,NA,"","Xin Yu Wang","R",182,"CHN",21.4,220589,NA,"Q","Elina Avanesyan","R",NA,"RUS",20.4,"1-6 6-2 6-3",3,"R32",119,1,2,68,42,23,15,12,3,7,5,4,98,64,39,13,12,6,11,67,871,170,384
"522","2023-2085","Merida","Hard",32,"I",20230220,275,204434,NA,"","Ysaline Bonaventure","L",178,"BEL",28.4,215899,NA,"WC","Simona Waltert","R",NA,"SUI",22.1,"4-6 7-5 6-1",3,"R32",131,2,11,91,51,30,17,14,9,16,2,6,93,63,33,6,15,2,12,95,684,124,547
"523","2023-2085","Merida","Hard",32,"I",20230220,274,211701,4,"","Katerina Siniakova","R",174,"CZE",26.7,201615,NA,"Q","Lesia Tsurenko","R",174,"UKR",33.7,"7-5 RET",3,"R32",71,2,3,42,28,18,6,6,4,6,0,2,48,30,16,9,6,3,6,47,1055,100,653
"524","2023-2085","Merida","Hard",32,"I",20230220,273,202429,NA,"","Camila Giorgi","R",168,"ITA",31.1,210886,6,"","Mayar Sherif","R",180,"EGY",26.7,"6-4 6-2",3,"R32",76,0,3,45,29,25,10,9,2,3,2,1,58,41,23,8,9,6,10,68,865,53,1006
"525","2023-2085","Merida","Hard",32,"I",20230220,272,203463,NA,"","Nuria Parrizas Diaz","R",167,"ESP",31.6,211951,NA,"Q","Ana Konjuh","R",174,"CRO",25.1,"6-4 6-7(2) 6-2",3,"R32",148,1,2,95,70,53,11,15,5,7,7,7,105,57,42,20,15,11,16,79,790,143,456
"526","2023-2085","Merida","Hard",32,"I",20230220,271,219875,NA,"LL","Varvara Gracheva","R",NA,"FRA",22.5,213583,NA,"","Tatjana Maria","R",172,"GER",35.5,"3-6 6-4 6-2",3,"R32",119,2,4,83,56,39,14,13,7,10,6,4,74,37,29,15,14,1,6,89,702,72,850
"527","2023-2085","Merida","Hard",32,"I",20230220,270,201585,2,"","Sloane Stephens","R",170,"USA",29.9,206417,NA,"Q","Leolia Jeanjean","R",NA,"FRA",27.5,"6-1 6-3",3,"R32",75,4,1,48,31,25,10,8,2,2,2,3,50,26,13,13,8,1,5,41,1244,108,610
"528","2023-2082","Austin","Hard",32,"I",20230227,300,216146,8,"","Marta Kostyuk","R",175,"UKR",20.6,219875,NA,"","Varvara Gracheva","R",NA,"FRA",22.5,"6-3 7-5",3,"F",91,0,9,52,26,17,7,10,1,6,2,5,80,53,26,9,11,7,15,52,1020,88,729
"529","2023-2082","Austin","Hard",32,"I",20230227,299,219875,NA,"","Varvara Gracheva","R",NA,"FRA",22.5,220465,NA,"","Katie Volynets","R",NA,"USA",21.1,"6-4 5-7 6-4",3,"SF",144,0,3,97,61,39,12,16,6,14,1,1,98,68,35,13,16,4,13,88,729,92,701
"530","2023-2082","Austin","Hard",32,"I",20230227,298,216146,8,"","Marta Kostyuk","R",175,"UKR",20.6,203389,4,"","Danielle Collins","R",178,"USA",29.2,"6-4 6-3",3,"SF",84,4,7,63,36,23,16,9,5,6,2,1,57,31,21,12,10,3,7,52,1020,38,1273
"531","2023-2082","Austin","Hard",32,"I",20230227,297,219875,NA,"","Varvara Gracheva","R",NA,"FRA",22.5,201585,5,"","Sloane Stephens","R",170,"USA",29.9,"7-6(4) 6-3",3,"QF",111,1,1,73,44,33,13,10,3,6,1,1,81,52,30,12,11,6,11,88,729,51,1024
"532","2023-2082","Austin","Hard",32,"I",20230227,296,220465,NA,"","Katie Volynets","R",NA,"USA",21.1,220548,NA,"WC","Peyton Stearns","R",NA,"USA",21.3,"7-5 6-3",3,"QF",104,1,6,73,55,29,7,10,9,14,0,4,76,49,26,6,11,8,16,92,701,137,475
"533","2023-2082","Austin","Hard",32,"I",20230227,295,203389,4,"","Danielle Collins","R",178,"USA",29.2,214939,NA,"","Anna Kalinskaya","R",175,"RUS",24.2,"3-6 6-2 6-1",3,"QF",107,2,4,82,41,30,21,12,4,7,1,4,76,47,22,17,12,5,11,38,1273,67,864
"534","2023-2082","Austin","Hard",32,"I",20230227,294,216146,8,"","Marta Kostyuk","R",175,"UKR",20.6,204431,NA,"","Anna Lena Friedsam","R",NA,"GER",29,"7-6(6) 6-2",3,"QF",110,3,9,69,42,25,12,10,0,4,1,2,86,58,28,13,10,8,14,52,1020,108,618
"535","2023-2082","Austin","Hard",32,"I",20230227,293,219875,NA,"","Varvara Gracheva","R",NA,"FRA",22.5,215020,NA,"","Anna Blinkova","R",179,"RUS",24.4,"6-3 6-7(5) 6-1",3,"R16",130,5,4,93,60,39,17,15,3,7,2,6,90,60,34,10,13,3,10,88,729,72,851
"536","2023-2082","Austin","Hard",32,"I",20230227,292,201585,5,"","Sloane Stephens","R",170,"USA",29.9,201586,NA,"Q","Heather Watson","R",170,"GBR",30.7,"6-4 6-4",3,"R16",86,1,3,64,44,27,6,10,7,11,1,2,58,39,21,5,10,4,10,51,1024,145,454
"537","2023-2082","Austin","Hard",32,"I",20230227,291,220465,NA,"","Katie Volynets","R",NA,"USA",21.1,215713,3,"","Anastasia Potapova","R",175,"RUS",21.9,"5-7 6-2 7-5",3,"R16",137,2,2,97,76,44,11,16,1,7,2,7,92,49,24,19,16,3,11,92,701,28,1429
"538","2023-2082","Austin","Hard",32,"I",20230227,290,220548,NA,"WC","Peyton Stearns","R",NA,"USA",21.3,214405,NA,"WC","Mirjam Bjorklund","U",NA,"SWE",24.5,"6-3 7-5",3,"R16",113,0,5,88,67,40,9,11,8,11,3,1,66,44,23,10,10,9,14,137,475,151,431
"539","2023-2082","Austin","Hard",32,"I",20230227,289,214939,NA,"","Anna Kalinskaya","R",175,"RUS",24.2,201535,NA,"LL","Coco Vandeweghe","R",185,"USA",31.2,"6-3 6-1",3,"R16",56,3,2,42,30,27,7,8,1,1,6,4,46,22,15,9,8,1,5,67,864,136,489
"540","2023-2082","Austin","Hard",32,"I",20230227,288,203389,4,"","Danielle Collins","R",178,"USA",29.2,216083,NA,"","Caty Mcnally","R",NA,"USA",21.2,"6-1 6-1",3,"R16",66,5,3,49,29,22,10,7,2,2,1,1,43,31,15,3,7,3,8,38,1273,75,803
"541","2023-2082","Austin","Hard",32,"I",20230227,287,216146,8,"","Marta Kostyuk","R",175,"UKR",20.6,201483,NA,"","Madison Brengle","R",168,"USA",32.9,"6-3 3-6 6-0",3,"R16",104,0,5,70,41,31,12,12,1,4,0,4,91,67,36,10,12,11,17,52,1020,95,696
"542","2023-2082","Austin","Hard",32,"I",20230227,286,204431,NA,"","Anna Lena Friedsam","R",NA,"GER",29,222965,NA,"LL","Erika Andreeva","R",NA,"RUS",18.6,"7-5 6-7(2) 7-6(8)",3,"R16",191,4,6,120,79,54,17,18,6,10,4,3,129,83,52,25,18,4,9,108,618,135,492
"543","2023-2082","Austin","Hard",32,"I",20230227,285,219875,NA,"","Varvara Gracheva","R",NA,"FRA",22.5,202663,1,"","Magda Linette","R",171,"POL",31,"6-3 4-6 6-4",3,"R32",149,4,6,100,56,39,19,14,10,14,7,2,108,71,45,15,15,6,12,88,729,21,1770
"544","2023-2082","Austin","Hard",32,"I",20230227,284,215020,NA,"","Anna Blinkova","R",179,"RUS",24.4,215983,NA,"Q","Ann Li","R",170,"USA",22.6,"6-4 6-4",3,"R32",72,3,4,52,36,26,8,10,1,3,4,2,62,35,22,13,10,7,11,72,851,184,353
"545","2023-2082","Austin","Hard",32,"I",20230227,283,201586,NA,"Q","Heather Watson","R",170,"GBR",30.7,203575,NA,"","Danka Kovinic","R",169,"MNE",28.2,"7-6(2) 6-4",3,"R32",114,3,6,84,52,39,12,11,6,9,4,4,81,50,29,14,11,5,9,145,454,62,905
"546","2023-2082","Austin","Hard",32,"I",20230227,282,201585,5,"","Sloane Stephens","R",170,"USA",29.9,203501,NA,"SR","Taylor Townsend","L",170,"USA",26.8,"6-3 6-3",3,"R32",82,3,1,56,40,31,10,9,2,2,2,1,59,36,22,11,9,2,5,51,1024,125,541
"547","2023-2082","Austin","Hard",32,"I",20230227,281,215713,3,"","Anastasia Potapova","R",175,"RUS",21.9,216097,NA,"WC","Elizabeth Mandlik","U",NA,"USA",21.7,"6-2 6-0",3,"R32",53,1,1,38,20,15,11,7,1,2,0,8,39,18,9,4,7,1,7,28,1429,154,422
"548","2023-2082","Austin","Hard",32,"I",20230227,280,220465,NA,"","Katie Volynets","R",NA,"USA",21.1,201590,NA,"","Alison Riske Amritraj","R",173,"USA",32.6,"6-3 3-6 6-0",3,"R32",111,2,3,73,52,32,12,12,1,4,1,8,70,46,26,9,12,4,10,92,701,58,953
"549","2023-2082","Austin","Hard",32,"I",20230227,279,220548,NA,"WC","Peyton Stearns","R",NA,"USA",21.3,211107,NA,"Q","Katie Boulter","R",180,"GBR",26.5,"7-6(5) 6-7(2) 7-6(5)",3,"R32",202,1,5,135,93,58,20,18,8,14,12,7,142,80,56,25,18,6,12,137,475,142,462
"550","2023-2082","Austin","Hard",32,"I",20230227,278,214405,NA,"WC","Mirjam Bjorklund","U",NA,"SWE",24.5,219917,7,"","Alycia Parks","R",185,"USA",22.1,"6-4 4-6 6-4",3,"R32",135,0,1,107,67,43,26,15,9,11,14,11,84,50,40,15,15,0,3,151,431,50,1037
"551","2023-2082","Austin","Hard",32,"I",20230227,277,214939,NA,"","Anna Kalinskaya","R",175,"RUS",24.2,211702,NA,"LL","Nao Hibino","R",163,"JPN",28.2,"6-4 3-6 6-2",3,"R32",129,1,6,93,62,40,16,14,5,9,1,1,85,61,34,12,13,5,10,67,864,139,472
"552","2023-2082","Austin","Hard",32,"I",20230227,276,201535,NA,"LL","Coco Vandeweghe","R",185,"USA",31.2,221905,NA,"Q","Robin Montgomery","L",NA,"USA",18.4,"6-2 6-7(3) 7-6(3)",3,"R32",161,9,10,111,56,44,25,16,6,10,5,6,120,86,55,12,16,11,17,136,489,189,341
"553","2023-2082","Austin","Hard",32,"I",20230227,275,216083,NA,"","Caty Mcnally","R",NA,"USA",21.2,221909,NA,"Q","Ashlyn Krueger","R",185,"USA",18.8,"6-4 6-3",3,"R32",96,0,1,60,39,19,14,9,2,5,0,4,75,51,28,6,10,6,12,75,803,155,417
"554","2023-2082","Austin","Hard",32,"I",20230227,274,203389,4,"","Danielle Collins","R",178,"USA",29.2,211684,NA,"","Magdalena Frech","R",171,"POL",25.2,"6-7(7) 6-2 6-4",3,"R32",150,5,8,102,61,43,21,15,5,8,3,4,107,64,46,15,15,6,12,38,1273,105,622
"555","2023-2082","Austin","Hard",32,"I",20230227,273,216146,8,"","Marta Kostyuk","R",175,"UKR",20.6,213646,NA,"","Dalma Galfi","U",NA,"HUN",24.5,"7-5 6-1",3,"R32",83,1,4,60,32,21,16,10,1,3,2,3,67,41,24,8,9,4,9,52,1020,83,765
"556","2023-2082","Austin","Hard",32,"I",20230227,272,201483,NA,"","Madison Brengle","R",168,"USA",32.9,211635,NA,"Q","Louisa Chirico","R",175,"USA",26.7,"6-2 7-6(3)",3,"R32",89,1,3,70,48,31,9,10,3,6,1,8,70,36,17,14,10,4,9,95,696,172,378
"557","2023-2082","Austin","Hard",32,"I",20230227,271,204431,NA,"","Anna Lena Friedsam","R",NA,"GER",29,215035,NA,"","Dayana Yastremska","R",175,"UKR",22.7,"6-4 6-4",3,"R32",79,5,5,57,32,24,15,10,3,4,4,7,61,26,17,20,10,3,6,108,618,103,641
"558","2023-2082","Austin","Hard",32,"I",20230227,270,222965,NA,"LL","Erika Andreeva","R",NA,"RUS",18.6,211279,NA,"","Harriet Dart","R",175,"GBR",26.5,"7-6(4) 3-6 7-6(3)",3,"R32",212,0,4,136,90,50,20,16,14,22,3,5,111,53,33,25,17,5,12,135,492,110,602
"559","2023-1039","Monterrey","Hard",32,"I",20230227,300,202499,3,"","Donna Vekic","R",179,"CRO",26.6,201614,1,"","Caroline Garcia","R",177,"FRA",29.3,"6-4 3-6 7-5",3,"F",149,13,8,123,68,50,25,15,14,16,15,3,92,62,43,16,16,0,3,31,1385,5,4835
"560","2023-1039","Monterrey","Hard",32,"I",20230227,299,201614,1,"","Caroline Garcia","R",177,"FRA",29.3,210722,4,"","Elise Mertens","R",179,"BEL",27.2,"6-3 6-4",3,"SF",101,6,0,70,42,33,16,10,4,4,2,3,72,43,25,17,9,10,12,5,4835,42,1214
"561","2023-1039","Monterrey","Hard",32,"I",20230227,298,202499,3,"","Donna Vekic","R",179,"CRO",26.6,202684,5,"","Lin Zhu","R",173,"CHN",29,"7-5 6-2",3,"SF",91,4,4,73,46,36,13,10,1,1,2,2,56,42,29,5,10,1,4,31,1385,41,1220
"562","2023-1039","Monterrey","Hard",32,"I",20230227,297,201614,1,"","Caroline Garcia","R",177,"FRA",29.3,210886,7,"","Mayar Sherif","R",180,"EGY",26.8,"6-0 6-4",3,"QF",65,3,1,42,29,25,8,8,0,0,2,1,50,36,20,6,8,2,6,5,4835,53,1020
"563","2023-1039","Monterrey","Hard",32,"I",20230227,296,210722,4,"","Elise Mertens","R",179,"BEL",27.2,220714,8,"","Elisabetta Cocciaretto","R",NA,"ITA",22,"6-2 6-2",3,"QF",79,7,2,58,31,26,14,8,5,5,0,1,48,30,20,5,8,9,13,42,1214,49,1045
"564","2023-1039","Monterrey","Hard",32,"I",20230227,295,202499,3,"","Donna Vekic","R",179,"CRO",26.6,204434,NA,"","Ysaline Bonaventure","L",178,"BEL",28.4,"6-2 5-7 7-6(5)",3,"QF",133,7,6,100,63,48,19,16,2,4,4,5,112,68,47,22,16,12,15,31,1385,96,685
"565","2023-1039","Monterrey","Hard",32,"I",20230227,294,202684,5,"","Lin Zhu","R",173,"CHN",29,214452,NA,"Q","Caroline Dolehide","R",178,"USA",24.4,"6-3 6-2",3,"QF",76,0,3,49,37,30,6,8,1,1,5,2,56,36,24,6,9,3,7,41,1220,206,320
"566","2023-1039","Monterrey","Hard",32,"I",20230227,293,201614,1,"","Caroline Garcia","R",177,"FRA",29.3,203463,NA,"","Nuria Parrizas Diaz","R",167,"ESP",31.6,"6-3 6-2",3,"R16",62,8,0,44,29,23,10,9,0,1,2,3,38,25,15,3,8,0,4,5,4835,78,790
"567","2023-1039","Monterrey","Hard",32,"I",20230227,292,210886,7,"","Mayar Sherif","R",180,"EGY",26.8,216133,NA,"","Xin Yu Wang","R",182,"CHN",21.4,"3-6 7-6(6) 6-4",3,"R16",156,4,2,107,73,46,22,15,2,5,3,4,101,67,51,13,16,4,7,53,1020,65,871
"568","2023-1039","Monterrey","Hard",32,"I",20230227,291,210722,4,"","Elise Mertens","R",179,"BEL",27.2,211817,NA,"Q","Elena Gabriela Ruse","U",NA,"ROU",25.3,"6-3 3-6 6-2",3,"R16",148,4,5,95,53,36,19,13,8,12,3,6,75,44,27,11,13,8,14,42,1214,160,398
"569","2023-1039","Monterrey","Hard",32,"I",20230227,290,220714,8,"","Elisabetta Cocciaretto","R",NA,"ITA",22,213583,NA,"","Tatjana Maria","R",172,"GER",35.5,"7-6(5) 7-6(3)",3,"R16",124,2,2,82,57,39,13,12,1,4,5,2,90,47,30,23,12,4,7,49,1045,73,850
"570","2023-1039","Monterrey","Hard",32,"I",20230227,289,204434,NA,"","Ysaline Bonaventure","L",178,"BEL",28.4,215872,NA,"Q","Kamilla Rakhimova","R",NA,"RUS",21.5,"7-6(2) 1-6 6-3",3,"R16",123,4,4,104,67,47,17,14,8,12,4,3,81,55,36,16,14,3,6,96,685,97,673
"571","2023-1039","Monterrey","Hard",32,"I",20230227,288,202499,3,"","Donna Vekic","R",179,"CRO",26.6,215613,NA,"WC","Emma Navarro","R",NA,"USA",21.7,"6-3 6-2",3,"R16",80,3,3,62,30,19,16,8,9,11,2,2,54,36,19,4,9,7,13,31,1385,134,493
"572","2023-1039","Monterrey","Hard",32,"I",20230227,287,202684,5,"","Lin Zhu","R",173,"CHN",29,201606,NA,"","Rebecca Marino","R",183,"CAN",32.1,"7-6(4) 2-6 6-3",3,"R16",139,1,5,109,68,44,23,15,11,15,11,1,95,58,39,19,14,6,9,41,1220,74,848
"573","2023-1039","Monterrey","Hard",32,"I",20230227,286,214452,NA,"Q","Caroline Dolehide","R",178,"USA",24.4,203533,NA,"","Anna Karolina Schmiedlova","R",176,"SVK",28.4,"6-2 6-4",3,"R16",77,4,1,58,41,33,8,9,2,2,4,4,55,32,20,11,9,4,7,206,320,100,644
"574","2023-1039","Monterrey","Hard",32,"I",20230227,285,201614,1,"","Caroline Garcia","R",177,"FRA",29.3,215219,NA,"","Kaja Juvan","R",170,"SLO",22.2,"6-3 6-4",3,"R32",77,5,2,54,34,30,12,10,1,1,6,1,61,38,29,10,9,6,8,5,4835,132,505
"575","2023-1039","Monterrey","Hard",32,"I",20230227,284,203463,NA,"","Nuria Parrizas Diaz","R",167,"ESP",31.6,216016,NA,"","Xiyu Wang","L",NA,"CHN",21.9,"7-6(5) 2-6 6-4",3,"R32",167,2,1,112,76,45,15,15,10,16,9,3,94,66,42,14,15,8,13,78,790,59,941
"576","2023-1039","Monterrey","Hard",32,"I",20230227,283,216133,NA,"","Xin Yu Wang","R",182,"CHN",21.4,203500,NA,"Q","Sachia Vickery","R",162,"USA",27.8,"6-3 6-4",3,"R32",74,2,2,58,32,27,12,9,4,5,1,3,55,31,23,9,10,2,6,65,871,186,350
"577","2023-1039","Monterrey","Hard",32,"I",20230227,282,210886,7,"","Mayar Sherif","R",180,"EGY",26.8,215785,NA,"","Camila Osorio","R",162,"COL",21.1,"7-6(5) 4-2 RET",3,"R32",110,7,3,69,43,36,12,10,1,1,0,5,61,38,28,11,9,2,3,53,1020,70,854
